Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+040A; C; U+045A; # CYRILLIC CAPITAL LETTER NJE
U+040B; C; U+045B; # CYRILLIC CAPITAL LETTER TSHE
U+040C; C; U+045C; # CYRILLIC CAPITAL LETTER KJE
U+040D; C; U+045D; # CYRILLIC CAPITAL LETTER I WITH GRAVE
U+040E; C; U+045E; # CYRILLIC CAPITAL LETTER SHORT U
U+040F; C; U+045F; # CYRILLIC CAPITAL LETTER DZHE
U+0410; C; U+0430; # CYRILLIC CAPITAL LETTER A
U+0411; C; U+0431; # CYRILLIC CAPITAL LETTER BE
U+0412; C; U+0432; # CYRILLIC CAPITAL LETTER VE
U+0413; C; U+0433; # CYRILLIC CAPITAL LETTER GHE
U+0414; C; U+0434; # CYRILLIC CAPITAL LETTER DE
U+0415; C; U+0435; # CYRILLIC CAPITAL LETTER IE
U+0416; C; U+0436; # CYRILLIC CAPITAL LETTER ZHE
U+0417; C; U+0437; # CYRILLIC CAPITAL LETTER ZE
U+0418; C; U+0438; # CYRILLIC CAPITAL LETTER I
U+0419; C; U+0439; # CYRILLIC CAPITAL LETTER SHORT I
U+041A; C; U+043A; # CYRILLIC CAPITAL LETTER KA
U+041B; C; U+043B; # CYRILLIC CAPITAL LETTER EL
U+041C; C; U+043C; # CYRILLIC CAPITAL LETTER EM
U+041D; C; U+043D; # CYRILLIC CAPITAL LETTER EN
U+041E; C; U+043E; # CYRILLIC CAPITAL LETTER O
U+041F; C; U+043F; # CYRILLIC CAPITAL LETTER PE
U+0420; C; U+0440; # CYRILLIC CAPITAL LETTER ER
U+0421; C; U+0441; # CYRILLIC CAPITAL LETTER ES
U+0422; C; U+0442; # CYRILLIC CAPITAL LETTER TE
U+0423; C; U+0443; # CYRILLIC CAPITAL LETTER U
U+0424; C; U+0444; # CYRILLIC CAPITAL LETTER EF
U+0425; C; U+0445; # CYRILLIC CAPITAL LETTER HA
U+0426; C; U+0446; # CYRILLIC CAPITAL LETTER TSE
U+0427; C; U+0447; # CYRILLIC CAPITAL LETTER CHE
U+0428; C; U+0448; # CYRILLIC CAPITAL LETTER SHA
U+0429; C; U+0449; # CYRILLIC CAPITAL LETTER SHCHA
U+042A; C; U+044A; # CYRILLIC CAPITAL LETTER HARD SIGN
U+042B; C; U+044B; # CYRILLIC CAPITAL LETTER YERU
U+042C; C; U+044C; # CYRILLIC CAPITAL LETTER SOFT SIGN
U+042D; C; U+044D; # CYRILLIC CAPITAL LETTER E
U+042E; C; U+044E; # CYRILLIC CAPITAL LETTER YU
U+042F; C; U+044F; # CYRILLIC CAPITAL LETTER YA
U+0460; C; U+0461; # CYRILLIC CAPITAL LETTER OMEGA
U+0462; C; U+0463; # CYRILLIC CAPITAL LETTER YAT
U+0464; C; U+0465; # CYRILLIC CAPITAL LETTER IOTIFIED E
U+0466; C; U+0467; # CYRILLIC CAPITAL LETTER LITTLE YUS
U+0468; C; U+0469; # CYRILLIC CAPITAL LETTER IOTIFIED LITTLE YUS
U+046A; C; U+046B; # CYRILLIC CAPITAL LETTER BIG YUS
U+046C; C; U+046D; # CYRILLIC CAPITAL LETTER IOTIFIED BIG YUS
U+046E; C; U+046F; # CYRILLIC CAPITAL LETTER KSI
U+0470; C; U+0471; # CYRILLIC CAPITAL LETTER PSI
U+0472; C; U+0473; # CYRILLIC CAPITAL LETTER FITA
U+0474; C; U+0475; # CYRILLIC CAPITAL LETTER IZHITSA
U+0476; C; U+0477; # CYRILLIC CAPITAL LETTER IZHITSA WITH DOUBLE GRAVE ACCENT
U+0478; C; U+0479; # CYRILLIC CAPITAL LETTER UK
U+047A; C; U+047B; # CYRILLIC CAPITAL LETTER ROUND OMEGA
U+047C; C; U+047D; # CYRILLIC CAPITAL LETTER OMEGA WITH TITLO
U+047E; C; U+047F; # CYRILLIC CAPITAL LETTER OT
