Unicode case folding

Unicode character; Mapping type; Folded equivalent # Description
U+10C94; C; U+10CD4; # OLD HUNGARIAN CAPITAL LETTER AK
U+10C95; C; U+10CD5; # OLD HUNGARIAN CAPITAL LETTER UNK
U+10C96; C; U+10CD6; # OLD HUNGARIAN CAPITAL LETTER EL
U+10C97; C; U+10CD7; # OLD HUNGARIAN CAPITAL LETTER ELY
U+10C98; C; U+10CD8; # OLD HUNGARIAN CAPITAL LETTER EM
U+10C99; C; U+10CD9; # OLD HUNGARIAN CAPITAL LETTER EN
U+10C9A; C; U+10CDA; # OLD HUNGARIAN CAPITAL LETTER ENY
U+10C9B; C; U+10CDB; # OLD HUNGARIAN CAPITAL LETTER O
U+10C9C; C; U+10CDC; # OLD HUNGARIAN CAPITAL LETTER OO
U+10C9D; C; U+10CDD; # OLD HUNGARIAN CAPITAL LETTER NIKOLSBURG OE
U+10C9E; C; U+10CDE; # OLD HUNGARIAN CAPITAL LETTER RUDIMENTA OE
U+10C9F; C; U+10CDF; # OLD HUNGARIAN CAPITAL LETTER OEE
U+10CA0; C; U+10CE0; # OLD HUNGARIAN CAPITAL LETTER EP
U+10CA1; C; U+10CE1; # OLD HUNGARIAN CAPITAL LETTER EMP
U+10CA2; C; U+10CE2; # OLD HUNGARIAN CAPITAL LETTER ER
U+10CA3; C; U+10CE3; # OLD HUNGARIAN CAPITAL LETTER SHORT ER
U+10CA4; C; U+10CE4; # OLD HUNGARIAN CAPITAL LETTER ES
U+10CA5; C; U+10CE5; # OLD HUNGARIAN CAPITAL LETTER ESZ
U+10CA6; C; U+10CE6; # OLD HUNGARIAN CAPITAL LETTER ET
U+10CA7; C; U+10CE7; # OLD HUNGARIAN CAPITAL LETTER ENT
U+10CA8; C; U+10CE8; # OLD HUNGARIAN CAPITAL LETTER ETY
U+10CA9; C; U+10CE9; # OLD HUNGARIAN CAPITAL LETTER ECH
U+10CAA; C; U+10CEA; # OLD HUNGARIAN CAPITAL LETTER U
U+10CAB; C; U+10CEB; # OLD HUNGARIAN CAPITAL LETTER UU
U+10CAC; C; U+10CEC; # OLD HUNGARIAN CAPITAL LETTER NIKOLSBURG UE
U+10CAD; C; U+10CED; # OLD HUNGARIAN CAPITAL LETTER RUDIMENTA UE
U+10CAE; C; U+10CEE; # OLD HUNGARIAN CAPITAL LETTER EV
U+10CAF; C; U+10CEF; # OLD HUNGARIAN CAPITAL LETTER EZ
U+10CB0; C; U+10CF0; # OLD HUNGARIAN CAPITAL LETTER EZS
U+10CB1; C; U+10CF1; # OLD HUNGARIAN CAPITAL LETTER ENT-SHAPED SIGN
U+10CB2; C; U+10CF2; # OLD HUNGARIAN CAPITAL LETTER US
U+118A0; C; U+118C0; # WARANG CITI CAPITAL LETTER NGAA
U+118A1; C; U+118C1; # WARANG CITI CAPITAL LETTER A
U+118A2; C; U+118C2; # WARANG CITI CAPITAL LETTER WI
U+118A3; C; U+118C3; # WARANG CITI CAPITAL LETTER YU
U+118A4; C; U+118C4; # WARANG CITI CAPITAL LETTER YA
U+118A5; C; U+118C5; # WARANG CITI CAPITAL LETTER YO
U+118A6; C; U+118C6; # WARANG CITI CAPITAL LETTER II
U+118A7; C; U+118C7; # WARANG CITI CAPITAL LETTER UU
U+118A8; C; U+118C8; # WARANG CITI CAPITAL LETTER E
U+118A9; C; U+118C9; # WARANG CITI CAPITAL LETTER O
U+118AA; C; U+118CA; # WARANG CITI CAPITAL LETTER ANG
U+118AB; C; U+118CB; # WARANG CITI CAPITAL LETTER GA
U+118AC; C; U+118CC; # WARANG CITI CAPITAL LETTER KO
U+118AD; C; U+118CD; # WARANG CITI CAPITAL LETTER ENY
U+118AE; C; U+118CE; # WARANG CITI CAPITAL LETTER YUJ
U+118AF; C; U+118CF; # WARANG CITI CAPITAL LETTER UC
U+118B0; C; U+118D0; # WARANG CITI CAPITAL LETTER ENN
U+118B1; C; U+118D1; # WARANG CITI CAPITAL LETTER ODD
U+118B2; C; U+118D2; # WARANG CITI CAPITAL LETTER TTE
U+118B3; C; U+118D3; # WARANG CITI CAPITAL LETTER NUNG
U+118B4; C; U+118D4; # WARANG CITI CAPITAL LETTER DA
U+118B5; C; U+118D5; # WARANG CITI CAPITAL LETTER AT
U+118B6; C; U+118D6; # WARANG CITI CAPITAL LETTER AM
U+118B7; C; U+118D7; # WARANG CITI CAPITAL LETTER BU
U+118B8; C; U+118D8; # WARANG CITI CAPITAL LETTER PU
U+118B9; C; U+118D9; # WARANG CITI CAPITAL LETTER HIYO
U+118BA; C; U+118DA; # WARANG CITI CAPITAL LETTER HOLO
U+118BB; C; U+118DB; # WARANG CITI CAPITAL LETTER HORR
U+118BC; C; U+118DC; # WARANG CITI CAPITAL LETTER HAR
U+118BD; C; U+118DD; # WARANG CITI CAPITAL LETTER SSUU
U+118BE; C; U+118DE; # WARANG CITI CAPITAL LETTER SII
U+118BF; C; U+118DF; # WARANG CITI CAPITAL LETTER VIYO
U+16E40; C; U+16E60; # MEDEFAIDRIN CAPITAL LETTER M
U+16E41; C; U+16E61; # MEDEFAIDRIN CAPITAL LETTER S
U+16E42; C; U+16E62; # MEDEFAIDRIN CAPITAL LETTER V
U+16E43; C; U+16E63; # MEDEFAIDRIN CAPITAL LETTER W
U+16E44; C; U+16E64; # MEDEFAIDRIN CAPITAL LETTER ATIU
U+16E45; C; U+16E65; # MEDEFAIDRIN CAPITAL LETTER Z
U+16E46; C; U+16E66; # MEDEFAIDRIN CAPITAL LETTER KP
U+16E47; C; U+16E67; # MEDEFAIDRIN CAPITAL LETTER P
U+16E48; C; U+16E68; # MEDEFAIDRIN CAPITAL LETTER T
U+16E49; C; U+16E69; # MEDEFAIDRIN CAPITAL LETTER G
U+16E4A; C; U+16E6A; # MEDEFAIDRIN CAPITAL LETTER F
U+16E4B; C; U+16E6B; # MEDEFAIDRIN CAPITAL LETTER I
U+16E4C; C; U+16E6C; # MEDEFAIDRIN CAPITAL LETTER K
U+16E4D; C; U+16E6D; # MEDEFAIDRIN CAPITAL LETTER A
U+16E4E; C; U+16E6E; # MEDEFAIDRIN CAPITAL LETTER J
U+16E4F; C; U+16E6F; # MEDEFAIDRIN CAPITAL LETTER E
U+16E50; C; U+16E70; # MEDEFAIDRIN CAPITAL LETTER B
U+16E51; C; U+16E71; # MEDEFAIDRIN CAPITAL LETTER C
U+16E52; C; U+16E72; # MEDEFAIDRIN CAPITAL LETTER U
U+16E53; C; U+16E73; # MEDEFAIDRIN CAPITAL LETTER YU
U+16E54; C; U+16E74; # MEDEFAIDRIN CAPITAL LETTER L
U+16E55; C; U+16E75; # MEDEFAIDRIN CAPITAL LETTER Q
U+16E56; C; U+16E76; # MEDEFAIDRIN CAPITAL LETTER HP
U+16E57; C; U+16E77; # MEDEFAIDRIN CAPITAL LETTER NY
U+16E58; C; U+16E78; # MEDEFAIDRIN CAPITAL LETTER X
U+16E59; C; U+16E79; # MEDEFAIDRIN CAPITAL LETTER D
U+16E5A; C; U+16E7A; # MEDEFAIDRIN CAPITAL LETTER OE
U+16E5B; C; U+16E7B; # MEDEFAIDRIN CAPITAL LETTER N
U+16E5C; C; U+16E7C; # MEDEFAIDRIN CAPITAL LETTER R
U+16E5D; C; U+16E7D; # MEDEFAIDRIN CAPITAL LETTER O
U+16E5E; C; U+16E7E; # MEDEFAIDRIN CAPITAL LETTER AI
U+16E5F; C; U+16E7F; # MEDEFAIDRIN CAPITAL LETTER Y
U+1E900; C; U+1E922; # ADLAM CAPITAL LETTER ALIF
U+1E901; C; U+1E923; # ADLAM CAPITAL LETTER DAALI
U+1E902; C; U+1E924; # ADLAM CAPITAL LETTER LAAM
U+1E903; C; U+1E925; # ADLAM CAPITAL LETTER MIIM
U+1E904; C; U+1E926; # ADLAM CAPITAL LETTER BA
U+1E905; C; U+1E927; # ADLAM CAPITAL LETTER SINNYIIYHE
U+1E906; C; U+1E928; # ADLAM CAPITAL LETTER PE
U+1E907; C; U+1E929; # ADLAM CAPITAL LETTER BHE
U+1E908; C; U+1E92A; # ADLAM CAPITAL LETTER RA
U+1E909; C; U+1E92B; # ADLAM CAPITAL LETTER E
U+1E90A; C; U+1E92C; # ADLAM CAPITAL LETTER FA
U+1E90B; C; U+1E92D; # ADLAM CAPITAL LETTER I
U+1E90C; C; U+1E92E; # ADLAM CAPITAL LETTER O
U+1E90D; C; U+1E92F; # ADLAM CAPITAL LETTER DHA
U+1E90E; C; U+1E930; # ADLAM CAPITAL LETTER YHE
U+1E90F; C; U+1E931; # ADLAM CAPITAL LETTER WAW
U+1E910; C; U+1E932; # ADLAM CAPITAL LETTER NUN
U+1E911; C; U+1E933; # ADLAM CAPITAL LETTER KAF
U+1E912; C; U+1E934; # ADLAM CAPITAL LETTER YA
U+1E913; C; U+1E935; # ADLAM CAPITAL LETTER U
U+1E914; C; U+1E936; # ADLAM CAPITAL LETTER JIIM
U+1E915; C; U+1E937; # ADLAM CAPITAL LETTER CHI
U+1E916; C; U+1E938; # ADLAM CAPITAL LETTER HA
U+1E917; C; U+1E939; # ADLAM CAPITAL LETTER QAAF
U+1E918; C; U+1E93A; # ADLAM CAPITAL LETTER GA
U+1E919; C; U+1E93B; # ADLAM CAPITAL LETTER NYA
U+1E91A; C; U+1E93C; # ADLAM CAPITAL LETTER TU
U+1E91B; C; U+1E93D; # ADLAM CAPITAL LETTER NHA
U+1E91C; C; U+1E93E; # ADLAM CAPITAL LETTER VA
U+1E91D; C; U+1E93F; # ADLAM CAPITAL LETTER KHA
U+1E91E; C; U+1E940; # ADLAM CAPITAL LETTER GBE
U+1E91F; C; U+1E941; # ADLAM CAPITAL LETTER ZAL
U+1E920; C; U+1E942; # ADLAM CAPITAL LETTER KPO
U+1E921; C; U+1E943; # ADLAM CAPITAL LETTER SHA
